41;155
5;177
4;159
52;156
30;149
33;163
9;126
39;134
37;147
49;156
43;160
41;155
36;148
30;149
10;151
11;136
29;158
47;147
6;137
59;146
42;156
27;145
1;135
5;177
1;135
19;141
46;130
6;137
16;154
2;143
19;141
40;141
7;146
13;155
22;123
47;147
56;143
38;141
21;127
20;140
3;144
5;177
53;160
17;157
38;141
4;159
47;147
37;147
55;132
43;160
56;143
54;162
8;150
60;140
25;137
4;159
18;138
57;140
21;127
38;141
25;137
15;133
58;140
37;147
59;146
38;141
20;140
27;145
43;160
16;154
19;141
4;159
47;147
32;152
50;155
54;162
18;138
56;143
16;154
2;143
27;145
47;147
23;150
53;160
60;140
12;153
33;163
52;156
35;136
51;161
60;140
58;140
49;156
32;152
20;140
34;146
10;151
20;140
6;137
19;141
51;161
13;155
37;147
36;148
56;143
27;145
42;156
23;150
5;177
25;137
12;153
10;151
60;140
24;158
25;137
28;152
30;149
33;163
51;161
11;136
49;156
46;130
6;137
53;160
33;163
36;148
9;126
38;141
56;143
1;135
31;144
46;130
17;157
52;156
51;161
59;146
39;134
37;147
1;135
8;150
14;134
28;152
33;163
43;160
56;143
50;155
55;132
54;162
24;158
43;160
50;155
53;160
57;140
10;151
58;140
22;123
44;146
33;163
13;155
51;161
17;157
20;140
60;140
6;137
22;123
3;144
24;158
54;162
14;134
56;143
58;140
8;150
43;160
3;144
38;141
50;155
7;146
29;158
15;133
14;134
56;143
19;141
28;152
48;132
17;157
45;130
43;160
33;163
14;134
36;148
5;177
44;146
5;177
33;163
49;156
17;157
42;156
39;134
15;133
13;155
57;140
53;160
40;141
17;157
21;127
57;140
16;154
23;150
54;162
4;159
13;155
3;144
51;161
17;157
29;158
25;137
22;123
6;137
7;146
52;156
38;141
60;140
55;132
42;156
10;151
43;160
45;130
54;162
16;154
37;147
45;130
52;156
56;143
12;153
3;144
12;153
46;130
5;177
47;147
8;150
38;141
26;117
35;136
39;134
12;153
47;147
24;158
36;148
19;141
33;163
7;146
11;136
2;143
58;140
25;137
6;137
26;117
17;157
47;147
38;141
18;138
14;134
29;158
44;146
30;149
7;146
37;147
55;132
44;146
53;160
32;152
46;130
1;135
60;140
24;158
23;150
35;136
17;157
3;144
48;132
25;137
56;143
47;147
5;177
34;146
28;152
2;143
50;155
33;163
7;146
43;160
35;136
13;155
55;132
57;140
44;146
21;127
16;154
58;140
6;137
23;150
24;158
42;156
25;137
17;157
47;147
58;140
15;133
59;146
30;149
38;141
46;130
42;156
13;155
3;144
46;130
38;141
16;154
5;177
21;127
9;126
56;143
18;138
36;148
29;158
2;143
14;134
38;141
23;150
52;156
51;161
35;136
59;146
7;146
20;140
2;143
27;145
17;157
16;154
34;146
7;146
59;146
30;149
49;156
27;145
37;147
12;153
44;146
28;152
13;155
34;146
2;143
8;150
54;162
38;141
14;134
21;127
15;133
3;144
20;140
59;146
8;150
18;138
29;158
42;156
44;146
52;156
13;155
6;137
24;158
8;150
31;144
26;117
9;126
41;155
49;156
25;137
40;141
8;150
54;162
50;155
60;140
23;150
12;153
20;140
1;135
5;177
32;152
25;137
34;146
15;133
26;117
12;153
33;163
48;132
13;155
47;147
14;134
27;145
52;156
17;157
12;153
53;160
13;155
3;144
1;135
12;153
59;146
56;143
58;140
34;146
53;160
25;137
45;130
40;141
17;157
23;150
43;160
27;145
58;140
53;160
16;154
45;130
43;160
33;163
27;145
19;141
48;132
43;160
1;135
34;146
44;146
57;140
25;137
45;130
28;152
51;161
26;117
2;143
24;158
34;146
50;155
38;141
37;147
36;148
49;156
37;147
35;136
24;158
21;127
33;163
18;138
23;150
8;150
17;157
53;160
29;158
54;162
40;141
57;140
49;156
21;127
22;123
32;152
46;130
12;153
25;137
31;144
43;160
25;137
2;143
13;155
31;144
17;157
51;161
40;141
37;147
23;150
48;132
28;152
47;147
41;155
10;151
60;140
54;162
23;150
51;161
36;148
53;160
29;158
18;138
15;133
24;158
16;154
4;159
42;156
57;140
15;133
10;151
34;146
4;159
6;137
25;137
40;141
47;147
15;133
30;149
37;147
45;130
6;137
54;162
21;127
6;137
34;146
36;148
22;123
40;141
4;159
28;152
32;152
11;136
5;177
45;130
37;147
29;158
4;159
43;160
18;138
59;146
42;156
34;146
13;155
44;146
55;132
21;127
26;117
40;141
54;162
9;126
52;156
60;140
4;159
10;151
35;136
39;134
2;143
5;177
23;150
51;161
3;144
1;135
24;158
22;123
53;160
31;144
28;152
2;143
36;148
28;152
51;161
55;132
18;138
52;156
8;150
46;130
60;140
6;137
40;141
50;155
45;130
4;159
42;156
58;140
26;117
7;146
40;141
56;143
53;160
11;136
14;134
5;177
35;136
43;160
33;163
14;134
31;144
35;136
